
ok  	github.com/kxn/codex-remote-feishu/internal/adapter/claude	0.945s
FAIL	github.com/kxn/codex-remote-feishu/internal/adapter/codex	1.344s
ok  	github.com/kxn/codex-remote-feishu/internal/adapter/editor	1.834s
ok  	github.com/kxn/codex-remote-feishu/internal/adapter/feishu	22.020s
ok  	github.com/kxn/codex-remote-feishu/internal/adapter/feishu/cardtheme	0.046s
ok  	github.com/kxn/codex-remote-feishu/internal/adapter/feishu/cardtransport	1.027s
FAIL	github.com/kxn/codex-remote-feishu/internal/adapter/feishu/gateway	7.088s
FAIL	github.com/kxn/codex-remote-feishu/internal/adapter/feishu/preview	17.993s
ok  	github.com/kxn/codex-remote-feishu/internal/adapter/feishu/projector	17.991s
FAIL	github.com/kxn/codex-remote-feishu/internal/adapter/feishu/selectflow	17.991s
FAIL	github.com/kxn/codex-remote-feishu/internal/adapter/feishu/texttags	11.356s
FAIL	github.com/kxn/codex-remote-feishu/internal/adapter/relayws	12.479s
ok  	github.com/kxn/codex-remote-feishu/internal/app/adminauth	11.876s
FAIL	github.com/kxn/codex-remote-feishu/internal/app/bitablevalue	1.997s
FAIL	github.com/kxn/codex-remote-feishu/internal/app/codexprofile	3.174s
ok  	github.com/kxn/codex-remote-feishu/internal/app/codexupgrade	3.172s
ok  	github.com/kxn/codex-remote-feishu/internal/app/cronrepo	5.082s
FAIL	github.com/kxn/codex-remote-feishu/internal/app/daemon [build failed]
ok  	github.com/kxn/codex-remote-feishu/internal/app/daemon/botcapabilitysettings	2.753s
ok  	github.com/kxn/codex-remote-feishu/internal/app/daemon/claudeworkspaceprofile	2.776s
FAIL	github.com/kxn/codex-remote-feishu/internal/app/daemon/codexoauthstate	1.805s
FAIL	github.com/kxn/codex-remote-feishu/internal/app/daemon/feishubotidentity	4.062s
ok  	github.com/kxn/codex-remote-feishu/internal/app/daemon/feishuroomstate	1.546s
FAIL	github.com/kxn/codex-remote-feishu/internal/app/daemon/profilecontextstate	1.524s
FAIL	github.com/kxn/codex-remote-feishu/internal/app/daemon/surfaceresume	3.401s
ok  	github.com/kxn/codex-remote-feishu/internal/app/desktopsession	2.364s
ok  	github.com/kxn/codex-remote-feishu/internal/app/gitworkspace	2.799s
FAIL	github.com/kxn/codex-remote-feishu/internal/app/install	3.239s
FAIL	github.com/kxn/codex-remote-feishu/internal/app/launcher	12.733s
ok  	github.com/kxn/codex-remote-feishu/internal/app/upgradeshim	0.985s
ok  	github.com/kxn/codex-remote-feishu/internal/app/vscodeshim	12.814s
--- FAIL: TestWrapperClaudeHelloAndShutdown (6.84s)
--- FAIL: TestResolveNormalCodexBinaryErrorsWithoutPATHOrVSCodeFallback (0.01s)
--- FAIL: TestResolveNormalCodexBinaryErrorsWhenConfiguredPATHCodexMissingWithoutFallback (0.00s)
FAIL
FAIL	github.com/kxn/codex-remote-feishu/internal/app/wrapper	41.830s
FAIL	github.com/kxn/codex-remote-feishu/internal/buildinfo	13.247s
ok  	github.com/kxn/codex-remote-feishu/internal/claudesessionstore	12.400s
ok  	github.com/kxn/codex-remote-feishu/internal/claudestate	12.790s
FAIL	github.com/kxn/codex-remote-feishu/internal/claudeutil	12.726s
FAIL	github.com/kxn/codex-remote-feishu/internal/codexcatalog	1.914s
FAIL	github.com/kxn/codex-remote-feishu/internal/codexstate	1.978s
FAIL	github.com/kxn/codex-remote-feishu/internal/config [build failed]
ok  	github.com/kxn/codex-remote-feishu/internal/conversationtrace	2.951s
ok  	github.com/kxn/codex-remote-feishu/internal/core/agentproto	1.552s
ok  	github.com/kxn/codex-remote-feishu/internal/core/control	2.271s
FAIL	github.com/kxn/codex-remote-feishu/internal/core/eventcontract	1.421s
FAIL	github.com/kxn/codex-remote-feishu/internal/core/frontstagecontract	1.423s
FAIL	github.com/kxn/codex-remote-feishu/internal/core/gitmeta	2.729s
FAIL	github.com/kxn/codex-remote-feishu/internal/core/jsonrpcutil	1.838s
FAIL	github.com/kxn/codex-remote-feishu/internal/core/orchestrator	6.259s
FAIL	github.com/kxn/codex-remote-feishu/internal/core/owneridentity	6.237s
FAIL	github.com/kxn/codex-remote-feishu/internal/core/relayurl	6.237s
ok  	github.com/kxn/codex-remote-feishu/internal/core/renderer	1.882s
FAIL	github.com/kxn/codex-remote-feishu/internal/core/state	2.390s
FAIL	github.com/kxn/codex-remote-feishu/internal/core/threadtitle	2.311s
FAIL	github.com/kxn/codex-remote-feishu/internal/core/upgradecontract	1.564s
FAIL	github.com/kxn/codex-remote-feishu/internal/debuglog	1.559s
FAIL	github.com/kxn/codex-remote-feishu/internal/displaypath	7.350s
FAIL	github.com/kxn/codex-remote-feishu/internal/execlaunch	6.968s
FAIL	github.com/kxn/codex-remote-feishu/internal/externalaccess	7.768s
ok  	github.com/kxn/codex-remote-feishu/internal/externalaccess/cloudflaredembed	13.912s
ok  	github.com/kxn/codex-remote-feishu/internal/feishuapp	7.316s
ok  	github.com/kxn/codex-remote-feishu/internal/feishuidentity	3.528s
ok  	github.com/kxn/codex-remote-feishu/internal/issuedocsync	3.434s
FAIL	github.com/kxn/codex-remote-feishu/internal/issueworkflow	2.554s
FAIL	github.com/kxn/codex-remote-feishu/internal/managedshim	2.092s
FAIL	github.com/kxn/codex-remote-feishu/internal/managedshim/embed	2.493s
ok  	github.com/kxn/codex-remote-feishu/internal/pathcompare	0.890s
FAIL	github.com/kxn/codex-remote-feishu/internal/pathscope	1.331s
ok  	github.com/kxn/codex-remote-feishu/internal/runtime	1.646s
ok  	github.com/kxn/codex-remote-feishu/internal/upgradeshim	0.839s
FAIL	github.com/kxn/codex-remote-feishu/internal/upgradeshim/embed	2.170s
FAIL	github.com/kxn/codex-remote-feishu/internal/xutil	2.172s
FAIL	github.com/kxn/codex-remote-feishu/testkit/harness	1.580s
FAIL


